Date,Domestic,Atlantic,Latin America,Pacific,International***,Total,NX Goods,Jet Fuel Spot Price FOB ($ per Gallon),CPI,IPI,Retail traid US total
7/31/2023,1410.436,682.424,109.519,1008.845,3531.434,6742.658,-88414.00,2.488,304.628,103.0722,599270.00
8/31/2023,1516.167,703.666,115.297,1031.343,3507.337,6873.811,-83700.00,2.989,306.187,103.0951,604187.00
9/30/2023,1446.2,705.029,113.938,1038.568,3485.789,6789.524,-85715.00,3.12,307.288,103.3081,609130.00
10/31/2023,1488.298,724.504,123.112,1079.555,3617.112,7032.58,-87829.00,2.881,307.531,102.5781,605668.00
11/30/2023,1609.112,709.032,126.435,1039.64,3602.198,7086.418,-88348.00,2.734,308.024,102.8868,606035.00
12/31/2023,1720.534,700.23,139.896,1032.773,3673.441,7266.873,-88440.00,2.387,308.742,102.6309,608730.00
1/31/2024,1382.459,603.817,125.677,896.129,3316.9,6324.981,-91009.00,2.585,309.685,101.4830,601921.00
2/28/2024,1370.272,647.881,127.654,742.167,3073.367,5961.342,-92959.00,2.683,311.054,102.7267,606720.00
3/31/2024,1515.212,747.797,137.796,960.904,3721.387,7083.096,-92979.00,2.593,312.230,102.5186,610060.00
4/30/2024,1446.035,692.284,142.659,840.256,3535.501,6656.736,-99547.00,2.605,313.207,102.3568,608458.00
5/31/2024,1577.833,713.134,158.599,901.385,3693.722,7044.673,-100325.00,2.38,313.225,102.9797,610010.00
6/30/2024,1505.507,728.826,150.714,898.429,3632.853,6916.331,-97300.00,2.394,313.049,103.2768,607986.00
7/31/2024,1538.948,738.441,148.661,875.852,3447.529,6749.431,-103238.00,2.419,313.534,102.5381,615960.00
8/31/2024,1587.431,744.127,162.379,880.262,3618.484,6992.683,-95015.00,2.176,314.121,103.0449,614535.00
